index,axis,true,pred,prob,text
67,JP,0,1,0.9992105960845947,"'They say we live in a world of light and shadows. Ancient yogis recommend meditation to know the truth. In stillness of body, mind and spirit. Just as the finite universe stood still before it... som..."
68,IE,0,1,0.9965110421180725,"'I hate that I am still in love. And probably ever will Thanks for your words. I need to talk with my flatmate, if there's a calm moment.. maybe I'm just a bit sensitiv. The other city means the other..."
68,NS,1,0,0.00025369206559844315,"'I hate that I am still in love. And probably ever will Thanks for your words. I need to talk with my flatmate, if there's a calm moment.. maybe I'm just a bit sensitiv. The other city means the other..."
68,JP,0,1,0.9994934797286987,"'I hate that I am still in love. And probably ever will Thanks for your words. I need to talk with my flatmate, if there's a calm moment.. maybe I'm just a bit sensitiv. The other city means the other..."
69,IE,1,0,0.23080724477767944,"'This, so much. happy Funny thing about growing up. You finally get to do whatever you want, except anything you might actually want to do. tongue I guess I'm a kind of Social Darwinist. I think that ..."
73,JP,0,1,0.9998175501823425,"'I'm currently dating an ISFP and it's the most magical relationship I've ever been in, especially after consistently dating ISTPs who I am super drawn to but everything I love about them ends up... A..."
74,JP,0,1,0.8940592408180237,"'Sx lasts seem unavailable and hard to get to know, a few of them even seem to fear intimacy or being vulnerable. So sp's are especially infuriating in the sense that there is a lack of genuineness......"
75,IE,0,1,0.9989149570465088,"'I've never thought of it that way before, but that's interesting. I don't think that it's like that, though from my limited knowledge of the enneagram . I think that the stacking is the same for... W..."
75,JP,1,0,0.009177137166261673,"'I've never thought of it that way before, but that's interesting. I don't think that it's like that, though from my limited knowledge of the enneagram . I think that the stacking is the same for... W..."
76,JP,0,1,0.9989060163497925,"'Intp Pnin by Vladimir Nabokov The Civil War by Gaius Iulius Caesar Enfp Isfp Ender in Exile by Orson Scott Card Kamui Kirito ENFJ 1w2 Esfj For all of these discussions about Francis' type, somebody a..."
77,NS,0,1,0.9993950128555298,'What they do is use their skill. Much like someone with good knowledge in science may go on to become a Biology professor. Do they want to show off their knowledge because they're making it public?.....
77,JP,0,1,0.9996317625045776,'What they do is use their skill. Much like someone with good knowledge in science may go on to become a Biology professor. Do they want to show off their knowledge because they're making it public?.....
80,NS,1,0,0.0014938483946025372,"'My all time favorite that I feel really describes me is The Catfish Song by Townes Van Zandt. I have mentioned this song before, on this forum, but I'd like to mention it again. The last time I... Bl..."
80,TF,1,0,0.0064585222862660885,"'My all time favorite that I feel really describes me is The Catfish Song by Townes Van Zandt. I have mentioned this song before, on this forum, but I'd like to mention it again. The last time I... Bl..."
82,IE,0,1,0.8936448097229004,"'I don't know, I can't help you. I feel the same way. If you wanted an affordable, one of a kind ring, you could have one 3D printed out of silver or gold or titanium Custom Wedding Rings Bands Galler..."
82,NS,0,1,0.8819867968559265,"'I don't know, I can't help you. I feel the same way. If you wanted an affordable, one of a kind ring, you could have one 3D printed out of silver or gold or titanium Custom Wedding Rings Bands Galler..."
86,TF,1,0,0.020720437169075012,"Not unless your willing to risk shutting down your emotions entirely... Honestly...ask yourself this question can you make money on your own? Do you have a skill that can make you money by selling it,..."
88,TF,0,1,0.9956320524215698,"'First of all, thank you for responding. I read up on personality theory quite some time back and told myself that I would only find my place in that system once I understood it. Unfortunately, some....."
92,NS,1,0,0.0014609964564442635,'Orange Beach wants to pay to bring drug testing back to Gulf Shores High al.com Arclight stone100674 walking tourist KittyKraz13 Thank you all very much. When if this plan is put into motion... Hello...
94,NS,0,1,0.9971393346786499,"'I've landed one of those professional, managerial type jobs with a big learning curve. Exciting, for sure! The thing I keep running into, though, is that while trying to close the gap and learn... Th..."
94,TF,1,0,0.018915988504886627,"'I've landed one of those professional, managerial type jobs with a big learning curve. Exciting, for sure! The thing I keep running into, though, is that while trying to close the gap and learn... Th..."
96,JP,1,0,0.005033235065639019,"'One of the reason I also thought he could be an intuitive before? I think he was more Ni Se or Se Ni in the first episode. Incidentally, he's been typed as an ISFP by some before he appeared again......"
97,IE,0,1,0.986135721206665,'I can't stand it when I'm misunderstood. Like when something I say gets misinterpreted for something I didn't mean at all. Especially when it's like the opposite of how I am and something I really......
98,JP,1,0,0.013220575638115406,"'College students who don't use the recycling containers, which are sometimes two feet away from the regular trash container. Cars have their own room in most USA houses. 0.99999...99 1, 1 A clash of ..."
101,IE,1,0,0.0009427709737792611,"'I agree she is definitely a introvert. I know shes a INTX for sure. Anyways I recently discovered her, so I'd go gay for Tina Fey! I know I put her in extroverted catagory, but I relate to her so... ..."
101,TF,0,1,0.9997321963310242,"'I agree she is definitely a introvert. I know shes a INTX for sure. Anyways I recently discovered her, so I'd go gay for Tina Fey! I know I put her in extroverted catagory, but I relate to her so... ..."
102,TF,0,1,0.9998615980148315,"'Awakened and eager When you haven't been in this forum for nearly 2 years and still identify with most of the posts... I'm starving, but lying here being a total lazy ass is so much more fulfilling a..."
102,JP,0,1,0.9997099041938782,"'Awakened and eager When you haven't been in this forum for nearly 2 years and still identify with most of the posts... I'm starving, but lying here being a total lazy ass is so much more fulfilling a..."
104,IE,0,1,0.9900064468383789,"'Doing what you like is freedom, liking what you do is happiness. Funny you say that, I don't even like to wear sunglasses 'cause I feel blind I just know I wanna do certain things in life. When thoug..."
104,NS,1,0,0.21631059050559998,"'Doing what you like is freedom, liking what you do is happiness. Funny you say that, I don't even like to wear sunglasses 'cause I feel blind I just know I wanna do certain things in life. When thoug..."
105,IE,1,0,0.160116508603096,"ISTJ TMLT go back in time, accidentally reverse engineering the entire timeline of the universe in the process INFP TMLT eat animals alive ISTJ TMLT trip in the shower When you risk almost getting on ..."
105,JP,1,0,0.31976214051246643,"ISTJ TMLT go back in time, accidentally reverse engineering the entire timeline of the universe in the process INFP TMLT eat animals alive ISTJ TMLT trip in the shower When you risk almost getting on ..."
106,IE,0,1,0.998408854007721,"'I see and well I don't judge her I told her that it doesn't matter if she's gay,straight, or whatever it doesn't change anything she's still my friend, it's just That I am really confused on the... S..."
106,NS,1,0,0.00029265208286233246,"'I see and well I don't judge her I told her that it doesn't matter if she's gay,straight, or whatever it doesn't change anything she's still my friend, it's just That I am really confused on the... S..."
107,IE,0,1,0.7798510193824768,"'I will pray for your soul, you heathen you're making God cry Perv Why the Myers Briggs test is totally meaningless Vox Boba makes me happy agree, Alfeim wasn't that great. GGO was pretty cool though...."
107,NS,0,1,0.9089558124542236,"'I will pray for your soul, you heathen you're making God cry Perv Why the Myers Briggs test is totally meaningless Vox Boba makes me happy agree, Alfeim wasn't that great. GGO was pretty cool though...."
111,IE,1,0,0.0008647704380564392,"'You found out someone was cloning you and selling copies for 500 a piece? I would find the person responsible, force them to hand me over a number of clones and then I'd strike a business deal... Hmm..."
111,TF,1,0,0.01296245213598013,"'You found out someone was cloning you and selling copies for 500 a piece? I would find the person responsible, force them to hand me over a number of clones and then I'd strike a business deal... Hmm..."
111,JP,0,1,0.9996110796928406,"'You found out someone was cloning you and selling copies for 500 a piece? I would find the person responsible, force them to hand me over a number of clones and then I'd strike a business deal... Hmm..."
112,IE,1,0,0.0022196578793227673,"'! My dad might also suffer from PTSD, know when I think of it! He is a refugee from a civil war, but he always looked normal to me, so I didn't think of it. Woaw. Know I just feel bad for not... My m..."
115,JP,0,1,0.9997531771659851,open you are about your feelings Very open and honest perhaps a little to open. I try to not share the negative ones but over time they tend to come out to. avoid comfrontation with your... completely...
118,IE,1,0,0.0006824726006016135,"'define love...... but anyway, i loved once, but it was a selfish type of love. It was caring, cause i did care about the person, but deep down i think he was just another object that i felt the need...."
120,JP,0,1,0.998814582824707,"completely understand where you're coming from. Growing up, those like us hardly ever existed. Since I wasn't 100 black, I wasn't black and since I wasn't 100 white, I wasn't white and therefore... 1 ..."
129,NS,0,1,0.8897237181663513,"'Have to say I was pretty surprised to come back to nine notifications, all of them thanks from this thread, after almost a year. Usually just avoid the threat of rejection all together by not putting..."
131,IE,0,1,0.998606264591217,'Different types have decidedly different writing habits. ENTPs and ENFPs both tend to be able to write large amounts of text on a moment's notice. INFPs and INTPs tend to be slow starters to... It's ...
131,JP,1,0,0.004544808529317379,'Different types have decidedly different writing habits. ENTPs and ENFPs both tend to be able to write large amounts of text on a moment's notice. INFPs and INTPs tend to be slow starters to... It's ...
132,TF,1,0,0.0033415218349546194,"' have a cigarette here and there probably only a hand full throughout the year. However, shisha is another thing. My hookah got used all the time until the bowl fell and broke a few weeks ago. Shuffl..."
135,IE,0,1,0.9975869655609131,"could you just like stop being a prick. for one day. you're too fucking hot and cold. you call me and drunkenly tell me you love me, but you have zero respect for me or my kid excuse me, OUR... annnnd..."
135,NS,0,1,0.9901491403579712,"could you just like stop being a prick. for one day. you're too fucking hot and cold. you call me and drunkenly tell me you love me, but you have zero respect for me or my kid excuse me, OUR... annnnd..."
137,TF,1,0,0.03546654060482979,"'Always talk to strangers, no matter how creepy they are. Attempt to pick pocket as many people as possible. Telling your boss off is a good way to blow off some steam. think he was terrible strategic..."
137,JP,0,1,0.618736982345581,"'Always talk to strangers, no matter how creepy they are. Attempt to pick pocket as many people as possible. Telling your boss off is a good way to blow off some steam. think he was terrible strategic..."
139,IE,0,1,0.9979555606842041,"'Um? I like cheese. CHEESE! I THOUGHT YOU LOVED ME. I want a divorce. But I already live there! o They have Tim Tams in Indonesia, but they are fake as fluff. Can someone please rescue me from Indones..."
139,NS,1,0,0.003616047790274024,"'Um? I like cheese. CHEESE! I THOUGHT YOU LOVED ME. I want a divorce. But I already live there! o They have Tim Tams in Indonesia, but they are fake as fluff. Can someone please rescue me from Indones..."
139,TF,1,0,0.08759693801403046,"'Um? I like cheese. CHEESE! I THOUGHT YOU LOVED ME. I want a divorce. But I already live there! o They have Tim Tams in Indonesia, but they are fake as fluff. Can someone please rescue me from Indones..."
139,JP,0,1,0.9986382126808167,"'Um? I like cheese. CHEESE! I THOUGHT YOU LOVED ME. I want a divorce. But I already live there! o They have Tim Tams in Indonesia, but they are fake as fluff. Can someone please rescue me from Indones..."
143,JP,0,1,0.9996519088745117,' so forth tongue needs to be a full series... many options tongue and think that the main difference between establishing an intellectual understanding versus an emotional connection with someone sta...
146,NS,1,0,0.0034342652652412653,"'Or when someone bails last minute or even worse, after the scheduled time has passed . This absolutely pisses me off. I'm fine with cancellations with ample notice , but it's ridiculous when I've... ..."
146,TF,0,1,0.9993690848350525,"'Or when someone bails last minute or even worse, after the scheduled time has passed . This absolutely pisses me off. I'm fine with cancellations with ample notice , but it's ridiculous when I've... ..."
147,IE,0,1,0.8697049021720886,"'Finished 'Austerlitz', by W. G. Sebald. Halfway through 'Microserfs', by Douglas Coupland. I'm liking this one a whole lot. The Tree of Life. I found it very interesting and thought provoking. Made m..."
147,TF,1,0,0.003834994975477457,"'Finished 'Austerlitz', by W. G. Sebald. Halfway through 'Microserfs', by Douglas Coupland. I'm liking this one a whole lot. The Tree of Life. I found it very interesting and thought provoking. Made m..."
151,TF,1,0,0.0017249032389372587,'I can't share my existential crisis with my SO because she takes my happiness status personally. I knew she was the jealous type but I had no it'd be this bad. The practical elements of our... Sort o...
152,JP,1,0,0.15811510384082794,'But it wasn't caused because of religion.Hitler claimed Jews would be Jews even if the religion never existed. The killings were not motivated by religion or even in opposition of religion. It's not....
153,NS,0,1,0.6145468950271606,"' Animal, White Knight I only really have one thing to add to what Animal said. It's times like this when I like to stop myself, look around me and remember all of the people in my life who have... Th..."
153,TF,1,0,0.0780121311545372,"' Animal, White Knight I only really have one thing to add to what Animal said. It's times like this when I like to stop myself, look around me and remember all of the people in my life who have... Th..."
154,IE,0,1,0.9987862706184387,'I wonder whether you can elaborate on how you go about trying to show this and the resistance received? This is the area I would have recommended attacking bringing their focus back to Si by way of.....
156,IE,1,0,0.0083028394728899,'I know this isn't the first post about the Enneagram and the Forer Effect and it certainly won't be the last but I disagree with people that say that the Enneagram only seems accurate because of the....
158,NS,0,1,0.9972906708717346,"'Well, a desire for order, a tendency to live by a certain code, and a sort of perfectionism. If the basis of your Ni type 1 idea is that INxJs can be perfectionistic, I think you're barking up the......"
158,TF,1,0,0.003615540685132146,"'Well, a desire for order, a tendency to live by a certain code, and a sort of perfectionism. If the basis of your Ni type 1 idea is that INxJs can be perfectionistic, I think you're barking up the......"
162,IE,1,0,0.01275626290589571,'I'm planning on double majoring in Philosophy and Psychology and minoring in Creative Writing. Then I'm going to use my major in Psychology to become an adolescent therapist. I'm actually currently w...
163,TF,0,1,0.999782383441925,"'No,empathy and sympathy doesn't have to go together. You are empathetic because you feel their mood and it affects you and like you said,sympathy comes just for the people close to you. You can even...."
163,JP,0,1,0.9977505803108215,"'No,empathy and sympathy doesn't have to go together. You are empathetic because you feel their mood and it affects you and like you said,sympathy comes just for the people close to you. You can even...."
165,NS,1,0,0.0004971956950612366,'I just noticed that 2 posts I made yesterday in the S R forum were deleted this morning? I'd like to know if this was a glitch or something because the posts were on topic and didnt had any bannable....
169,IE,1,0,0.0014184619067236781,"'Right, I don't see that we're disagreeing so much. when really they are just a product of their culture of that time. I say this all the time, I'm sure I've posted it in this forum... I have had 2 be..."
170,NS,1,0,0.0035966599825769663,"'Tatoe arashi ga hukou tomo, tatoe oonami areru tomo. Kogidasou tatakai no umi he, tobikomou tatakai no uzu he... Mitsumeau hitomi to hitomi, nukumori wo shinjiau. Go nin no nakama! Welcome. If ever y..."
173,IE,0,1,0.9994309544563293,"'When Media Entertainers to make movies, books and tv shows, the characters more believable, relatable, have a distinct personality type. Your favorite Characters or maybe even least favorite! can... ..."
173,TF,1,0,0.00088979845168069,"'When Media Entertainers to make movies, books and tv shows, the characters more believable, relatable, have a distinct personality type. Your favorite Characters or maybe even least favorite! can... ..."
174,TF,0,1,0.9997342228889465,"I loved toys. I liked playing with puzzles, lincoln logs, legos.. I loved monopoly, chess, checkers, and word games. Most of the time I made my own games. Probably get random toys and built a city,......"
175,IE,1,0,0.016491640359163284,"'Will you stop taking everything you see for granted? This is likely a flash problem. Experienced today I've experienced this issue as well lately, and I'd be willing to be it's because Chrome no long..."
175,JP,1,0,0.0019428411033004522,"'Will you stop taking everything you see for granted? This is likely a flash problem. Experienced today I've experienced this issue as well lately, and I'd be willing to be it's because Chrome no long..."
176,IE,0,1,0.9991993308067322,'I think she's probably 315. I know she's definitely a 3. She always changes her views to compete with other people's. She always changes her positon to appease the public. She's all image. I could......
176,TF,0,1,0.9696055054664612,'I think she's probably 315. I know she's definitely a 3. She always changes her views to compete with other people's. She always changes her positon to appease the public. She's all image. I could......
178,IE,0,1,0.9892478585243225,"'Don't play robot with us... your a tootsie pop full of ooy gooy feelings and fluff, it's only a matter of licks hmmm... you say you gave up on love entirely?? So if you meet someone else who is genui..."
179,TF,1,0,0.0007867983658798039,"'He ain't slender, but he always gets his man. She ain't a man, but she sure as hell is slender. John Goodman plays Adam Slender, a renegade cop who doesn't play by the rules, with Joely Richardson......"
183,NS,1,0,0.0791686549782753,"'dont share istp with normies holy shit guy Earlier today, that dream I had as a kid where I forgot my pants and went to school came true, but I made the best of it. Luckily it's still pretty warm out..."
184,NS,1,0,0.0029893051832914352,"'I put ENTJ and ENFJ What do you guys think? I included the characters from the second Lion King too, you don't have to answer those if you don't know. Here's my opinion Simba x96 ENFP Nala ENTJ Mufas..."
184,TF,1,0,0.07661030441522598,"'I put ENTJ and ENFJ What do you guys think? I included the characters from the second Lion King too, you don't have to answer those if you don't know. Here's my opinion Simba x96 ENFP Nala ENTJ Mufas..."
184,JP,1,0,0.007668653503060341,"'I put ENTJ and ENFJ What do you guys think? I included the characters from the second Lion King too, you don't have to answer those if you don't know. Here's my opinion Simba x96 ENFP Nala ENTJ Mufas..."
185,JP,0,1,0.9512309432029724,'What started the scientific advances was necessity. Scientific advances then flourished due to heavy capital expenditures. Are you saying that capitalism is the only way of allocating capital... If t...
187,JP,1,0,0.0021818599198013544,"'Well, I have a strong belief note I said belief that he meant the behavioural end and all of this makes sense. I'm not sure if he reflected accurately on the chance that other INTJs were not as... I ..."
189,IE,0,1,0.9985577464103699,'Ya know...this is my exact issue. I am interested in about 10 things and my interest spikes and wanes and I never dedicate enough time in one thing to make a career out of it. I feel like there will....
189,TF,1,0,0.07593456655740738,'Ya know...this is my exact issue. I am interested in about 10 things and my interest spikes and wanes and I never dedicate enough time in one thing to make a career out of it. I feel like there will....
196,NS,1,0,0.0014025750569999218,"'After having this problem for a solid 5 years I've finally found a suitable solution. It's called lorazepam and it's pretty cool, man. 73721 Fuck, I was sexy when I was 14. If I implied that I assume..."
196,JP,1,0,0.0035210587084293365,"'After having this problem for a solid 5 years I've finally found a suitable solution. It's called lorazepam and it's pretty cool, man. 73721 Fuck, I was sexy when I was 14. If I implied that I assume..."
199,IE,1,0,0.39608868956565857,"I do stuff like dis. They no longer become outlandish once they start becoming reality! I think you also have to always remember why you started to make music in the first place, the way it feels or h..."
199,JP,0,1,0.9992735981941223,"I do stuff like dis. They no longer become outlandish once they start becoming reality! I think you also have to always remember why you started to make music in the first place, the way it feels or h..."
